,GDate,CodOfBuyer,CodOfSeller,Value,Valume
301,2022-03-26,461707,549123,2115482818,389002
597,2022-03-26,596211,477752,1375467886,241704
961,2022-03-26,216797,549123,3816845361,683692
1019,2022-03-26,720607,477752,6781942232,1134849
1038,2022-03-26,274673,477752,1842283282,311908
1060,2022-03-26,356500,301196,2270377165,386074
1062,2022-03-26,356500,190526,1178058495,291272
1241,2022-03-26,172413,190526,1612969766,288890
1252,2022-03-26,172413,126353,7414174170,1092115
2108,2022-03-27,393344,151977,1161070134,239167
2289,2022-03-27,181645,203262,1121149059,231478
2860,2022-03-28,644794,802108,1471546034,235809
2899,2022-03-28,644794,242170,1471792220,230947
2938,2022-03-28,644794,265171,1178119095,204395
3291,2022-03-28,191285,794687,4402731096,790074
3661,2022-03-28,666326,831704,1205144693,219240
3682,2022-03-28,666326,068821,2111386644,371055
3760,2022-03-28,216797,874933,1495458644,219766
4193,2022-03-29,860560,683149,1734206086,342450
4224,2022-03-29,855982,191285,1384516733,242772
4422,2022-03-29,666408,301196,1473381480,245417
4513,2022-03-29,615402,366908,1483631171,211675
4574,2022-03-29,543236,816044,2983737279,414538
4576,2022-03-29,543236,480454,1425977476,197429
4744,2022-03-29,471589,638515,1395105655,289153
4775,2022-03-29,455082,209219,2052574567,303423
4946,2022-03-29,345034,379600,1509850653,361009
5005,2022-03-29,302956,017815,1135717570,283547
5344,2022-03-29,772008,301196,1506034469,271757
5392,2022-03-29,310990,754113,1136486766,159139
5414,2022-03-29,103807,189798,1154218949,279455
5733,2022-03-29,858950,935282,3888051412,544881
5735,2022-03-29,858950,618739,1496232112,359949
5845,2022-03-29,666326,816044,1425428764,221866
5848,2022-03-29,666326,703505,3694788079,526604
5852,2022-03-29,666326,480454,1495426914,341096
5856,2022-03-29,666326,371833,1477071147,371810
5858,2022-03-29,666326,302956,1476250229,230581
5859,2022-03-29,666326,242170,2980209773,430212
5861,2022-03-29,666326,191285,2341249995,462181
5866,2022-03-29,666326,393344,2492019547,468976
5875,2022-03-29,666326,588429,1502279298,266895
5881,2022-03-29,666326,593085,1246710200,206288
5883,2022-03-29,666326,139767,1469752632,359179
5990,2022-03-29,204674,216797,1113480050,213905
6076,2022-03-29,027876,816044,1187938530,244375
6077,2022-03-29,027876,810081,1498160383,358248
6094,2022-03-29,119610,872134,1646605301,339549
6095,2022-03-29,119610,754113,2444281007,440834
6149,2022-03-29,515690,191285,1699163711,297776
6203,2022-03-29,665883,785683,2141562056,325048
6450,2022-03-29,293973,962122,1222401832,340432
6636,2022-03-29,844607,216797,1499596519,237442
6655,2022-03-29,081571,366908,1493216972,343738
6919,2022-03-30,810081,317638,1148943580,276375
